seed,plan_cost,exec_us,rows,query
0,3466,255,3,"SELECT t1.price AS c2289
FROM regions AS t0 RIGHT JOIN books AS t1 ON t0.id = t1.id;"
1,56100,240,55,"SELECT t0.region_id AS c3748
FROM customers AS t0
WHERE t0.region_id = 7;"
2,110500,250,500,"SELECT t0.region_id, t0.id
FROM customers AS t0
ORDER BY t0.id DESC, t0.region_id DESC;"
3,610,122,5,"SELECT t0.id
FROM departments AS t0;"
4,943,172,0,"SELECT t0.id, SUM(t0.id)
FROM markets AS t0
WHERE t0.id IS NULL
GROUP BY t0.id
ORDER BY t0.id DESC;"
5,49760800,22867,3,"SELECT markets.region, markets.id AS c7685
FROM markets CROSS JOIN orders CROSS JOIN departments
GROUP BY markets.region, markets.id;"
6,230694,628,4,"SELECT t1.id, t0.id AS c6716, t0.region_id
FROM customers AS t0 RIGHT JOIN employees AS t1 ON t0.id = t1.id RIGHT JOIN departments AS t2 ON t0.id = t2.id
WHERE t1.department_id <= 11;"
7,2593,293,1,"SELECT departments.id
FROM departments RIGHT JOIN employees ON departments.id = employees.id
WHERE (employees.id != 33 AND employees.department_id IN (34, 74))
GROUP BY departments.id
ORDER BY departments.id DESC;"
8,552500,1154,1,"SELECT orders.customer_id, orders.id
FROM orders
WHERE (orders.id = 117 AND orders.id > 60)
ORDER BY orders.customer_id DESC, orders.id DESC;"
9,3939128,8455,2,"SELECT t0.customer_id AS c3674
FROM orders AS t0 CROSS JOIN departments AS t1
WHERE (t1.id >= 4 AND (t0.id IN (130) OR t1.id IS NULL));"
10,5532,325,3,"SELECT regions.id
FROM books RIGHT JOIN employees ON books.id = employees.id JOIN regions ON books.id = regions.id
WHERE books.price >= 6;"
11,16616,301,22,"SELECT employees.department_id
FROM users FULL JOIN employees ON users.id = employees.id
ORDER BY employees.department_id DESC;"
12,676416,975,3,"SELECT orders.id AS c2380, markets.region, markets.note
FROM markets JOIN orders ON markets.id = orders.id;"
13,2390300,2814,15000,"SELECT markets.region, orders.customer_id AS c8705, markets.note
FROM markets CROSS JOIN orders;"
14,2076,143,10,"SELECT t0.department_id, t0.id AS c1827
FROM employees AS t0
WHERE (t0.department_id BETWEEN 5 AND 34 OR t0.id NOT IN (2, 68, 69));"
15,422,142,0,"SELECT books.price
FROM books
WHERE (books.id < 2 AND (books.price NOT BETWEEN 41 AND 55 OR books.price IN (57, 63, 77, 77)));"
16,16132,334,22,"SELECT t0.age AS c4948
FROM users AS t0 FULL JOIN employees AS t1 ON t0.id = t1.id;"
17,29255,307,4,"SELECT users.age, COUNT(departments.id), COUNT(*)
FROM regions JOIN users ON regions.id = users.id CROSS JOIN departments
WHERE (users.age >= 52 OR regions.id IN (4, 9))
GROUP BY users.age;"
18,102500,273,436,"SELECT customers.region_id
FROM customers
WHERE customers.region_id != 8
ORDER BY customers.region_id ASC;"
19,3393,359,2,"SELECT t0.id
FROM books AS t0 RIGHT JOIN regions AS t1 ON t0.id = t1.id JOIN markets AS t2 ON t1.id = t2.id
WHERE t1.id < 3
ORDER BY t0.id ASC;"
20,49896040,29612,85,"SELECT orders.id AS c5497, orders.customer_id, departments.id AS c8484
FROM departments CROSS JOIN users CROSS JOIN orders
WHERE orders.id = 82;"
21,1220,146,10,"SELECT regions.id
FROM regions;"
22,7436,167,11,"SELECT t0.department_id
FROM employees AS t0
GROUP BY t0.department_id
ORDER BY t0.department_id ASC;"
23,156962,489,10,"SELECT customers.region_id
FROM customers LEFT JOIN books ON customers.id = books.id
GROUP BY customers.region_id
ORDER BY customers.region_id ASC;"
24,57976,440,4,"SELECT t2.id, COUNT(t0.id) AS c2763, COUNT(t2.id)
FROM regions AS t0 CROSS JOIN users AS t1 LEFT JOIN markets AS t2 ON t0.id = t2.id
GROUP BY t2.id;"
25,68652,240,3,"SELECT customers.id
FROM books JOIN customers ON books.id = customers.id
ORDER BY customers.id DESC;"
26,4786826,149982,5489,"SELECT customers.region_id, employees.department_id
FROM employees FULL JOIN orders ON employees.id = orders.id FULL JOIN customers ON employees.id = customers.id
ORDER BY customers.region_id ASC;"
27,6471784,12004,2,"SELECT orders.customer_id, users.id
FROM users RIGHT JOIN orders ON users.id = orders.id CROSS JOIN departments
WHERE orders.customer_id IN (34, 321)
GROUP BY orders.customer_id, users.id;"
