seed,plan_cost,naive_plan_cost,exec_us,rows,lineage,query
0,2196,3466,192,3,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT t1.price AS c2289
FROM regions AS t0 RIGHT JOIN books AS t1 ON t0.id = t1.id;"
1,56100,56100,254,55,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1,"SELECT t0.region_id AS c3748
FROM customers AS t0
WHERE t0.region_id = 7;"
2,110500,110500,305,500,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1; enforcer 0 SortEnforcer: 1,"SELECT t0.region_id, t0.id
FROM customers AS t0
ORDER BY t0.id DESC, t0.region_id DESC;"
3,610,610,143,5,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1,"SELECT t0.id
FROM departments AS t0;"
4,574,574,193,0,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 2,"SELECT t0.id, SUM(t0.id)
FROM markets AS t0
WHERE t0.id IS NULL
GROUP BY t0.id
ORDER BY t0.id DESC;"
5,35285800,35285800,55187,3,implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 2; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT markets.region, markets.id AS c7685
FROM markets CROSS JOIN orders CROSS JOIN departments
GROUP BY markets.region, markets.id;"
6,111709,440694,314,4,transformation 0 JoinCommutativity: 2; transformation 5 FilterPushdownThroughJoin: 4; transformation 11 OuterJoinToInner: 1; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 2; enforcer 0 SortEnforcer: 4,"SELECT t1.id, t0.id AS c6716, t0.region_id
FROM customers AS t0 RIGHT JOIN employees AS t1 ON t0.id = t1.id RIGHT JOIN departments AS t2 ON t0.id = t2.id
WHERE t1.department_id <= 11;"
7,2188,5724,281,1,transformation 5 FilterPushdownThroughJoin: 2; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 4,"SELECT departments.id
FROM departments RIGHT JOIN employees ON departments.id = employees.id
WHERE (employees.id != 33 AND employees.department_id IN (34, 74))
GROUP BY departments.id
ORDER BY departments.id DESC;"
8,552500,552500,1173,1,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; enforcer 0 SortEnforcer: 1,"SELECT orders.customer_id, orders.id
FROM orders
WHERE (orders.id = 117 AND orders.id > 60)
ORDER BY orders.customer_id DESC, orders.id DESC;"
9,1351928,3939128,2497,2,transformation 0 JoinCommutativity: 1; transformation 2 FilterSplit: 2; transformation 5 FilterPushdownThroughJoin: 2; transformation 6 InToOrChain: 1; implementation 0 ImplementTable: 2; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1,"SELECT t0.customer_id AS c3674
FROM orders AS t0 CROSS JOIN departments AS t1
WHERE (t1.id >= 4 AND (t0.id IN (130) OR t1.id IS NULL));"
10,3639,6932,228,3,transformation 5 FilterPushdownThroughJoin: 3; transformation 10 ProjectionPushdownThroughJoin: 3; transformation 11 OuterJoinToInner: 1; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 2; implementation 6 ImplementHashJoin: 2,"SELECT regions.id
FROM books RIGHT JOIN employees ON books.id = employees.id JOIN regions ON books.id = regions.id
WHERE books.price >= 6;"
11,5889,16616,226,22,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 3,"SELECT employees.department_id
FROM users FULL JOIN employees ON users.id = employees.id
ORDER BY employees.department_id DESC;"
12,676416,1550366,1214,3,implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 6 ImplementHashJoin: 1,"SELECT orders.id AS c2380, markets.region, markets.note
FROM markets JOIN orders ON markets.id = orders.id;"
13,2390300,2390300,2959,15000,implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1,"SELECT markets.region, orders.customer_id AS c8705, markets.note
FROM markets CROSS JOIN orders;"
14,2076,2076,135,10,transformation 6 InToOrChain: 1; implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1,"SELECT t0.department_id, t0.id AS c1827
FROM employees AS t0
WHERE (t0.department_id BETWEEN 5 AND 34 OR t0.id NOT IN (2, 68, 69));"
15,422,422,229,0,transformation 6 InToOrChain: 1; implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1,"SELECT books.price
FROM books
WHERE (books.id < 2 AND (books.price NOT BETWEEN 41 AND 55 OR books.price IN (57, 63, 77, 77)));"
16,5405,16132,184,22,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT t0.age AS c4948
FROM users AS t0 FULL JOIN employees AS t1 ON t0.id = t1.id;"
17,14805,29510,354,4,transformation 0 JoinCommutativity: 1; transformation 6 InToOrChain: 1; transformation 8 CrossJoinToJoin: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 6 ImplementHashJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT users.age, COUNT(departments.id), COUNT(*)
FROM regions JOIN users ON regions.id = users.id CROSS JOIN departments
WHERE (users.age >= 52 OR regions.id IN (4, 9))
GROUP BY users.age;"
18,102500,102500,291,436,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; enforcer 0 SortEnforcer: 1,"SELECT customers.region_id
FROM customers
WHERE customers.region_id != 8
ORDER BY customers.region_id ASC;"
19,2736,4463,264,2,transformation 0 JoinCommutativity: 2; transformation 5 FilterPushdownThroughJoin: 4; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 2; enforcer 0 SortEnforcer: 4,"SELECT t0.id
FROM books AS t0 RIGHT JOIN regions AS t1 ON t0.id = t1.id JOIN markets AS t2 ON t1.id = t2.id
WHERE t1.id < 3
ORDER BY t0.id ASC;"
20,31196040,49896040,20899,85,transformation 0 JoinCommutativity: 1; transformation 8 CrossJoinToJoin: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 5 ImplementCrossJoin: 1,"SELECT orders.id AS c5497, orders.customer_id, departments.id AS c8484
FROM departments CROSS JOIN users CROSS JOIN orders
WHERE orders.id = 82;"
21,1220,1220,123,10,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1,"SELECT regions.id
FROM regions;"
22,3740,3740,220,11,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 2,"SELECT t0.department_id
FROM employees AS t0
GROUP BY t0.department_id
ORDER BY t0.department_id ASC;"
23,109562,155822,402,10,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 3,"SELECT customers.region_id
FROM customers LEFT JOIN books ON customers.id = books.id
GROUP BY customers.region_id
ORDER BY customers.region_id ASC;"
24,39522,56902,652,4,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; implementation 7 ImplementMergeJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 3,"SELECT t2.id, COUNT(t0.id) AS c2763, COUNT(t2.id)
FROM regions AS t0 CROSS JOIN users AS t1 LEFT JOIN markets AS t2 ON t0.id = t2.id
GROUP BY t2.id;"
25,68652,155432,263,3,implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 6 ImplementHashJoin: 1; enforcer 0 SortEnforcer: 1,"SELECT customers.id
FROM books JOIN customers ON books.id = customers.id
ORDER BY customers.id DESC;"
26,1417306,4786826,4875,5489,implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 2; enforcer 0 SortEnforcer: 4,"SELECT customers.region_id, employees.department_id
FROM employees FULL JOIN orders ON employees.id = orders.id FULL JOIN customers ON employees.id = customers.id
ORDER BY customers.region_id ASC;"
27,1318590,6466259,4170,2,transformation 0 JoinCommutativity: 2; transformation 6 InToOrChain: 1; transformation 8 CrossJoinToJoin: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 7 ImplementMergeJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 3,"SELECT orders.customer_id, users.id
FROM users RIGHT JOIN orders ON users.id = orders.id CROSS JOIN departments
WHERE orders.customer_id IN (34, 321)
GROUP BY orders.customer_id, users.id;"
28,1425,1425,156,5,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT departments.id AS c2364, SUM(departments.id)
FROM departments
GROUP BY departments.id
ORDER BY departments.id ASC;"
29,110161,226916,320,3,implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 2; enforcer 0 SortEnforcer: 3,"SELECT customers.id, markets.id
FROM customers FULL JOIN departments ON customers.id = departments.id JOIN markets ON customers.id = markets.id;"
30,19986,32788,418,51,transformation 0 JoinCommutativity: 1; transformation 8 CrossJoinToJoin: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 5 ImplementCrossJoin: 1,"SELECT markets.id AS c2619
FROM markets CROSS JOIN users CROSS JOIN books
WHERE markets.region != 'AMERICA';"
31,3125,3125,190,8,transformation 6 InToOrChain: 1; implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT t0.id, SUM(t0.id)
FROM users AS t0
WHERE ((t0.id NOT IN (5) AND t0.age != 12) AND t0.age NOT BETWEEN 33 AND 64)
GROUP BY t0.id;"
32,3740,3740,166,11,implementation 0 ImplementTable: 1; implementation 3 ImplementProjection: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 2,"SELECT t0.id AS c8338, COUNT(t0.department_id)
FROM employees AS t0
GROUP BY t0.id
ORDER BY t0.id DESC;"
33,878460,2705500,1374,1000,transformation 2 FilterSplit: 1; transformation 5 FilterPushdownThroughJoin: 4; transformation 11 OuterJoinToInner: 1; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 6 ImplementHashJoin: 1; enforcer 0 SortEnforcer: 1,"SELECT orders.customer_id, customers.region_id
FROM departments RIGHT JOIN orders ON departments.id = orders.id CROSS JOIN customers
WHERE departments.id BETWEEN 4 AND 96
ORDER BY customers.region_id DESC;"
34,22645472,27634772,76328,3,transformation 0 JoinCommutativity: 1; transformation 6 InToOrChain: 1; transformation 8 CrossJoinToJoin: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 5 ImplementCrossJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 2,"SELECT markets.note AS c1833, markets.region, SUM(books.id) AS c1917, COUNT(*)
FROM orders CROSS JOIN markets CROSS JOIN books
WHERE ((orders.id != 89 OR markets.note IS NOT NULL) OR (markets.id IN (22) AND books.id NOT BETWEEN 1 AND 3))
GROUP BY markets.note, markets.region
ORDER BY markets.region DESC;"
35,7686500,1755811500,23921,50000,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; implementation 6 ImplementHashJoin: 1; enforcer 0 SortEnforcer: 1,"SELECT regions.id, orders.id
FROM orders CROSS JOIN regions JOIN customers ON regions.id = customers.id
ORDER BY orders.id DESC, regions.id DESC;"
36,8426,8426,329,51,implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1,"SELECT books.price AS c7084
FROM books CROSS JOIN users;"
37,1916300,525797800,3304,1591,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; implementation 7 ImplementMergeJoin: 1; enforcer 0 SortEnforcer: 2,"SELECT orders.customer_id
FROM customers CROSS JOIN markets FULL JOIN orders ON markets.id = orders.id
WHERE orders.id < 95;"
38,1310710,4010688,2615,2,transformation 0 JoinCommutativity: 1; implementation 0 ImplementTable: 3; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; implementation 7 ImplementMergeJoin: 2; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 6,"SELECT t1.department_id, COUNT(*)
FROM regions AS t0 RIGHT JOIN employees AS t1 ON t0.id = t1.id RIGHT JOIN orders AS t2 ON t0.id = t2.id
WHERE ((t1.id = 3 OR t2.id = 185) OR (t1.id < 3 AND t2.id IS NULL))
GROUP BY t1.department_id
ORDER BY t1.department_id DESC;"
39,433,433,401,0,implementation 0 ImplementTable: 1; implementation 1 ImplementFilter: 1; implementation 3 ImplementProjection: 1; enforcer 0 SortEnforcer: 1,"SELECT t0.id, t0.note, t0.region
FROM markets AS t0
WHERE t0.note IS NULL
ORDER BY t0.note DESC, t0.id DESC;"
40,615800,615800,692,500,implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 5 ImplementCrossJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT t1.id, t1.region_id AS c2127
FROM books AS t0 CROSS JOIN customers AS t1
GROUP BY t1.id, t1.region_id;"
41,917612117,1196362017,1308879,50000,transformation 0 JoinCommutativity: 1; transformation 6 InToOrChain: 1; transformation 8 CrossJoinToJoin: 1; implementation 0 ImplementTable: 2; implementation 3 ImplementProjection: 1; implementation 4 ImplementJoin: 1; implementation 8 ImplementAggregation: 1; enforcer 0 SortEnforcer: 1,"SELECT customers.region_id, orders.id AS c1616
FROM orders CROSS JOIN customers
WHERE ((orders.id >= 3 OR customers.region_id != 41) OR orders.id IN (73))
GROUP BY customers.region_id, orders.id;"
